SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.45878386200000004,56.0,2,0.34268258799999995,3600.0,5,0,1,0,0
0,0.017259598,61.0,0,0.413597137,4750.0,8,0,1,0,0
0,0.091143741,56.0,0,0.06656051,3139.0,11,0,0,0,3
0,0.05739694400000001,79.0,0,0.028809803,7670.0,4,0,0,0,0
0,0.9999998999999999,42.0,0,0.092676872,2416.0,4,0,0,1,1
0,0.194245533,27.0,0,0.437518377,3400.0,6,0,1,0,0
0,0.577600684,30.0,0,0.112184376,5900.0,6,0,0,0,1
0,0.155966018,43.0,0,0.655652584,4236.0,13,0,1,0,2
0,0.388289226,70.0,0,0.363222576,6590.0,14,0,1,0,1
1,0.090640057,28.0,0,1.098966277,5900.0,16,0,2,0,0
0,0.073508892,73.0,0,0.137522954,4900.0,15,0,1,0,0
0,0.667473409,31.0,1,0.165882925,6166.0,9,0,0,0,0
1,0.9202657809999999,46.0,2,0.053035724000000006,9986.843972,4,2,2,1,2
0,0.638722555,28.0,0,0.2423788110000001,2000.0,5,0,0,0,0
1,1.984732824,42.0,1,0.10453648900000001,6083.0,2,1,0,1,4
0,0.064260451,56.0,0,1.342094342,7228.0,17,0,3,0,3
0,0.9999998999999999,29.0,0,0.007571933,1980.0,1,1,0,0,4
0,0.090932476,58.0,0,0.32570928600000004,8000.0,11,0,2,0,4
0,0.15100143,69.0,0,0.076715023,4066.0,7,0,0,0,0
0,0.5211224179999999,32.0,0,0.212553231,5400.0,5,0,1,0,0
0,0.14493340400000002,39.0,0,0.290322581,2200.0,6,0,0,0,2
1,0.9999998999999999,45.0,0,0.016935319,4900.0,0,0,0,0,0
0,0.224960485,76.0,0,0.276552598,3944.0,5,0,1,0,0
0,0.9999998999999999,40.0,0,0.30009998600000004,7000.0,2,0,1,0,0
0,0.24477819399999998,63.0,0,0.720819795,4000.0,8,0,2,0,0
0,0.018534453,66.0,0,0.006569551999999999,3500.0,6,0,0,0,0
0,0.435486451,44.0,0,0.05847805,15902.230769999998,13,0,4,0,0
0,0.0,41.0,0,0.45228381700000003,12500.0,11,0,4,0,2
0,0.0020850179999999997,59.0,0,0.19053741300000002,35000.0,10,0,4,0,0
1,0.9999998999999999,54.0,0,0.12224494400000001,4400.0,2,2,0,0,0
0,0.212755831,37.0,0,0.20035992800000002,3333.0,2,0,0,0,0
0,0.07375926599999999,49.0,0,0.288536917,12500.0,11,0,3,0,0
0,0.9999998999999999,33.0,2,0.429633494,7666.0,5,0,2,0,1
1,0.358075055,72.0,0,0.314023068,11530.0,16,1,1,0,1
0,0.274036641,57.0,0,0.327284427,7769.0,13,0,1,0,2
1,0.7090356170000001,45.0,0,0.527155816,8708.0,12,0,3,0,3
0,0.936544563,53.0,1,0.510992056,5412.0,5,1,2,0,0
0,0.024952908,53.0,0,0.20024049100000002,15800.0,9,0,2,0,1
0,0.385815886,47.0,1,0.318491876,8062.0,13,0,0,0,0
0,0.188109812,27.0,0,0.118310535,4166.0,4,0,0,0,0
0,0.045406809000000006,53.0,0,1.522938624,3225.0,13,0,3,0,2
0,1.00559944,35.0,0,0.27504659800000003,17167.0,9,0,2,0,3
1,0.252638596,51.0,1,0.038422987,2992.0,2,2,0,0,3
0,0.377501132,36.0,1,0.602209945,7963.0,13,0,2,0,3
0,0.059592648,57.0,1,0.470446779,7900.0,8,0,1,0,1
0,0.9999998999999999,47.0,2,0.221095113,9167.0,4,0,4,0,0
0,0.04363438,49.0,0,0.221050718,5500.0,7,0,1,0,0
0,0.290095372,55.0,0,0.20797689100000002,9000.0,16,0,0,0,0
0,0.783937824,58.0,2,0.372837088,6125.0,19,2,1,1,1
0,0.06062079,38.0,0,0.5050547470000001,33334.0,18,0,2,0,0
0,0.028483142000000006,65.0,0,0.31206597199999997,2303.0,7,0,1,0,1
