SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.458783862,56,2,0.34268258799999995,3600.0,5,0,1,0,0.0
0,0.017259598,61,0,0.413597137,4750.0,8,0,1,0,0.0
0,0.091143741,56,0,0.06656051,3139.0,11,0,0,0,3.0
0,0.05739694400000001,79,0,0.028809803,7670.0,4,0,0,0,0.0
0,0.9999999,42,0,0.092676872,2416.0,4,0,0,1,1.0
0,0.194245533,27,0,0.437518377,3400.0,6,0,1,0,0.0
0,0.577600684,30,0,0.112184376,5900.0,6,0,0,0,1.0
0,0.155966018,43,0,0.655652584,4236.0,13,0,1,0,2.0
0,0.388289226,70,0,0.363222576,6590.0,14,0,1,0,1.0
1,0.090640057,28,0,1.098966277,5900.0,16,0,2,0,0.0
0,0.073508892,73,0,0.137522954,4900.0,15,0,1,0,0.0
0,0.667473409,31,1,0.165882925,6166.0,9,0,0,0,0.0
1,0.920265781,46,2,0.053035724000000006,57300.0,4,2,2,1,2.0
0,0.638722555,28,0,0.24237881100000006,2000.0,5,0,0,0,0.0
1,1.984732824,42,1,0.104536489,6083.0,2,1,0,1,4.0
0,0.064260451,56,0,1.342094342,7228.0,17,0,7,0,3.0
0,0.9999999,29,0,0.007571933,1980.0,1,1,0,0,4.0
0,0.090932476,58,0,0.32570928600000004,8000.0,11,0,2,0,4.0
0,0.15100143,69,0,0.076715023,4066.0,7,0,0,0,0.0
0,0.5211224179999999,32,0,0.212553231,5400.0,5,0,1,0,0.0
0,0.14493340400000002,39,0,0.290322581,2200.0,6,0,0,0,2.0
1,0.9999999,45,0,0.016935319,4900.0,0,0,0,0,0.0
0,0.224960485,76,0,0.276552598,3944.0,5,0,1,0,0.0
0,0.9999999,40,0,0.30009998600000004,7000.0,2,0,1,0,0.0
0,0.244778194,63,0,0.720819795,4000.0,8,0,2,0,0.0
0,0.018534453,66,0,0.006569551999999999,3500.0,6,0,0,0,0.0
0,0.435486451,44,0,0.05847805,71000.0,13,0,4,0,0.0
0,0.0,41,0,0.452283817,12500.0,11,0,4,0,2.0
